start_station_id,count_of_rides,avg_start_lat,start_lng,ranking
7100.07,1,40.73771905,-74.06712138333333,109
7180.02,1,40.73771905,-74.06712138333333,110
7212.05,1,40.73771905,-74.06712138333333,111
7235.13,1,40.73771905,-74.06712138333333,112
7365.08,1,40.73771905,-74.06712138333333,113
7432.09,1,40.73771905,-74.06712138333333,114
7443.01,1,40.73771905,-74.06712138333333,115
8262.07,1,40.758944983333336,-74.0153526,116
6816.07,1,40.8028376,-73.99727856666667,117
4060.09,1,40.735353589,-74.046973348,118
6771.13,1,40.735353589,-74.046973348,119
5294.04,1,40.75035571666667,-74.06811701666666,120
5045.05,1,40.719274633333335,-74.04311011666667,121
5065.10,1,40.735353589,-74.046973348,122
5065.14,1,40.71433115,-74.03313255,123
5128.04,1,40.719274633333335,-74.04311011666667,124
5195.06,1,40.719274633333335,-74.04311011666667,125
5198.04,1,40.719274633333335,-74.04311011666667,126
5216.06,1,40.73771905,-74.06712138333333,127
5267.08,1,40.735353589,-74.046973348,128
5270.08,1,40.719274633333335,-74.04311011666667,129
5276.04,1,40.735353589,-74.046973348,130
5297.02,1,40.719274633333335,-74.04311011666667,131
4987.06,1,40.735353589,-74.046973348,132
5303.06,1,40.735353589,-74.046973348,133
5303.08,1,40.735353589,-74.046973348,134
5329.08,1,40.71433115,-74.03313255,135
5340.01,1,40.735353589,-74.046973348,136
5348.02,1,40.735353589,-74.046973348,137
5374.01,1,40.750450566666665,-74.06776671666667,138
5411.07,1,40.735353589,-74.046973348,139
5411.08,1,40.735353589,-74.046973348,140
5414.07,1,40.735353589,-74.046973348,141
5430.10,1,40.735353589,-74.046973348,142
5024.10,1,40.735353589,-74.046973348,143
4936.21,1,40.735353589,-74.046973348,144
5500.07,1,40.71433115,-74.03313255,145
4446.03,1,40.735353589,-74.046973348,146
4249.10,1,40.735353589,-74.046973348,147
4281.08,1,40.735353589,-74.046973348,148
4317.05,1,40.735353589,-74.046973348,149
4319.07,1,40.735353589,-74.046973348,150
4366.01,1,40.735353589,-74.046973348,151
4368.05,1,40.735353589,-74.046973348,152
4380.08,1,40.735353589,-74.046973348,153
4395.07,1,40.735353589,-74.046973348,154
4404.10,1,40.735353589,-74.046973348,155
4437.09,1,40.735353589,-74.046973348,156
4474.01,1,40.735353589,-74.046973348,157
4850.04,1,40.71433115,-74.03313255,158
4507.07,1,40.735353589,-74.046973348,159
4531.05,1,40.735353589,-74.046973348,160
4550.05,1,40.735353589,-74.046973348,161
4553.04,1,40.735353589,-74.046973348,162
4617.01,1,40.71433115,-74.03313255,163
4663.06,1,40.719274633333335,-74.04311011666667,164
4665.02,1,40.735353589,-74.046973348,165
4683.02,1,40.735353589,-74.046973348,166
